key	building	unit	XP	conditions	faction	enabled
#building_units_allowed_tables;3;db/building_units_allowed_tables/_rex_building_units_allowed						
150007	att_bld_all_military_upgrades_wood_3	rex_ballista	0			false
150008	att_bld_all_military_upgrades_wood_4	rex_ballista	0			false
150009	att_bld_all_military_upgrades_wood_3	rex_ballista_giant	0			false
150010	att_bld_all_military_upgrades_wood_4	rex_ballista_giant	0			false
150012	att_bld_all_military_upgrades_wood_2	att_rom_onager_large	0			false
150016	att_bld_roman_west_military_infantry_2	att_rom_armoured_sagittarii	0			false
150018	att_bld_roman_east_military_infantry_2	att_rom_armoured_sagittarii	0			false
150019	att_bld_roman_west_military_1	rex_praeventores	0			false
150020	att_bld_roman_east_military_1	rex_praeventores	0			false
150029	att_bld_roman_west_military_1	att_rom_palatina_guards	0			false
150030	att_bld_roman_east_military_1	att_rom_palatina_guards	0			false
150031	att_bld_roman_west_military_cavalry_2	att_rom_palatina_guards	0			false
150032	att_bld_roman_east_military_cavalry_2	att_rom_palatina_guards	0			false
150033	att_bld_roman_east_military_cavalry_3	att_rom_palatina_guards	0			false
150034	att_bld_roman_west_military_cavalry_3	att_rom_palatina_guards	0			false
150035	att_bld_roman_west_military_cavalry_4	att_rom_palatina_guards	0			false
150036	att_bld_roman_east_military_cavalry_4	att_rom_palatina_guards	0			false
150037	att_bld_roman_west_military_infantry_3	att_rom_armoured_sagittarii	0			false
150038	att_bld_roman_west_military_infantry_4	att_rom_armoured_sagittarii	0			false
150039	att_bld_roman_east_military_infantry_3	att_rom_armoured_sagittarii	0			false
150040	att_bld_roman_east_military_infantry_4	att_rom_armoured_sagittarii	0			false
150043	att_bld_roman_west_military_1	att_rom_scout_equites	0			false
150044	att_bld_roman_east_military_1	att_rom_scout_equites	0			false
150073	att_bld_roman_west_military_cavalry_2	att_rom_scout_equites	0			false
150074	att_bld_roman_east_military_cavalry_2	att_rom_scout_equites	0			false
150075	att_bld_roman_east_military_cavalry_3	att_rom_scout_equites	0			false
150076	att_bld_roman_west_military_cavalry_3	att_rom_scout_equites	0			false
150077	att_bld_roman_west_military_cavalry_4	att_rom_scout_equites	0			false
150078	att_bld_roman_east_military_cavalry_4	att_rom_scout_equites	0			false
150079	att_bld_roman_west_military_infantry_4	att_rom_numeroi	0			false
150080	att_bld_roman_west_military_infantry_4	rex_exculcatores	0			false
150081	att_bld_roman_east_military_infantry_4	rex_exculcatores	0			false
150082	att_bld_roman_east_military_infantry_4	att_rom_numeroi	0			false
150085	att_bld_roman_west_city_major_1	att_rom_limitanei_borderguards	0			false
150086	att_bld_roman_west_city_major_2	att_rom_limitanei_borderguards	0			false
150087	att_bld_roman_west_city_major_3	att_rom_limitanei_borderguards	0			false
150088	att_bld_roman_west_city_major_4	att_rom_limitanei_borderguards	0			false
150089	att_bld_roman_west_city_minor_generic_1	att_rom_limitanei_borderguards	0			false
150090	att_bld_roman_west_city_minor_generic_2	att_rom_limitanei_borderguards	0			false
150091	att_bld_roman_west_city_minor_generic_3	att_rom_limitanei_borderguards	0			false
150092	att_bld_roman_west_city_minor_generic_4	att_rom_limitanei_borderguards	0			false
150093	att_bld_roman_east_city_major_1	att_rom_limitanei_borderguards	0			false
150094	att_bld_roman_east_city_major_2	att_rom_limitanei_borderguards	0			false
150095	att_bld_roman_east_city_major_3	att_rom_limitanei_borderguards	0			false
150096	att_bld_roman_east_city_major_4	att_rom_limitanei_borderguards	0			false
150097	att_bld_roman_east_city_minor_generic_1	att_rom_limitanei_borderguards	0			false
150098	att_bld_roman_east_city_minor_generic_2	att_rom_limitanei_borderguards	0			false
150099	att_bld_roman_east_city_minor_generic_3	att_rom_limitanei_borderguards	0			false
150100	att_bld_roman_east_city_minor_generic_4	att_rom_limitanei_borderguards	0			false
150117	att_bld_roman_west_city_major_1	rex_rom_millites_ital	0			false
150118	att_bld_roman_west_city_major_2	rex_rom_millites_ital	0			false
150119	att_bld_roman_west_city_major_3	rex_rom_millites_ital	0			false
150120	att_bld_roman_west_city_major_4	rex_rom_millites_ital	0			false
150121	att_bld_roman_west_city_minor_generic_1	rex_rom_millites_ital	0			false
150122	att_bld_roman_west_city_minor_generic_2	rex_rom_millites_ital	0			false
150123	att_bld_roman_west_city_minor_generic_3	rex_rom_millites_ital	0			false
150124	att_bld_roman_west_city_minor_generic_4	rex_rom_millites_ital	0			false
150125	att_bld_roman_east_city_major_1	rex_rom_millites_ital	0			false
150126	att_bld_roman_east_city_major_2	rex_rom_millites_ital	0			false
150127	att_bld_roman_east_city_major_3	rex_rom_millites_ital	0			false
150128	att_bld_roman_east_city_major_4	rex_rom_millites_ital	0			false
150129	att_bld_roman_east_city_minor_generic_1	rex_rom_millites_ital	0			false
150130	att_bld_roman_east_city_minor_generic_2	rex_rom_millites_ital	0			false
150131	att_bld_roman_east_city_minor_generic_3	rex_rom_millites_ital	0			false
150132	att_bld_roman_east_city_minor_generic_4	rex_rom_millites_ital	0			false
150133	att_bld_roman_west_city_major_1	rex_rom_millites_barb	0			false
150134	att_bld_roman_west_city_major_2	rex_rom_millites_barb	0			false
150135	att_bld_roman_west_city_major_3	rex_rom_millites_barb	0			false
150136	att_bld_roman_west_city_major_4	rex_rom_millites_barb	0			false
150137	att_bld_roman_west_city_minor_generic_1	rex_rom_millites_barb	0			false
150138	att_bld_roman_west_city_minor_generic_2	rex_rom_millites_barb	0			false
150139	att_bld_roman_west_city_minor_generic_3	rex_rom_millites_barb	0			false
150140	att_bld_roman_west_city_minor_generic_4	rex_rom_millites_barb	0			false
150141	att_bld_roman_east_city_major_1	rex_rom_millites_barb	0			false
150142	att_bld_roman_east_city_major_2	rex_rom_millites_barb	0			false
150143	att_bld_roman_east_city_major_3	rex_rom_millites_barb	0			false
150144	att_bld_roman_east_city_major_4	rex_rom_millites_barb	0			false
150145	att_bld_roman_east_city_minor_generic_1	rex_rom_millites_barb	0			false
150146	att_bld_roman_east_city_minor_generic_2	rex_rom_millites_barb	0			false
150147	att_bld_roman_east_city_minor_generic_3	rex_rom_millites_barb	0			false
150148	att_bld_roman_east_city_minor_generic_4	rex_rom_millites_barb	0			false
150149	att_bld_roman_west_city_major_1	rex_rom_millites_maur	0			false
150150	att_bld_roman_west_city_major_2	rex_rom_millites_maur	0			false
150151	att_bld_roman_west_city_major_3	rex_rom_millites_maur	0			false
150152	att_bld_roman_west_city_major_4	rex_rom_millites_maur	0			false
150153	att_bld_roman_west_city_minor_generic_1	rex_rom_millites_maur	0			false
150154	att_bld_roman_west_city_minor_generic_2	rex_rom_millites_maur	0			false
150155	att_bld_roman_west_city_minor_generic_3	rex_rom_millites_maur	0			false
150156	att_bld_roman_west_city_minor_generic_4	rex_rom_millites_maur	0			false
150157	att_bld_roman_east_city_major_1	rex_rom_millites_maur	0			false
150158	att_bld_roman_east_city_major_2	rex_rom_millites_maur	0			false
150159	att_bld_roman_east_city_major_3	rex_rom_millites_maur	0			false
150160	att_bld_roman_east_city_major_4	rex_rom_millites_maur	0			false
150161	att_bld_roman_east_city_minor_generic_1	rex_rom_millites_maur	0			false
150162	att_bld_roman_east_city_minor_generic_2	rex_rom_millites_maur	0			false
150163	att_bld_roman_east_city_minor_generic_3	rex_rom_millites_maur	0			false
150164	att_bld_roman_east_city_minor_generic_4	rex_rom_millites_maur	0			false
150165	att_bld_roman_west_city_major_1	rex_rom_millites_daci	0			false
150166	att_bld_roman_west_city_major_2	rex_rom_millites_daci	0			false
150167	att_bld_roman_west_city_major_3	rex_rom_millites_daci	0			false
150168	att_bld_roman_west_city_major_4	rex_rom_millites_daci	0			false
150169	att_bld_roman_west_city_minor_generic_1	rex_rom_millites_daci	0			false
150170	att_bld_roman_west_city_minor_generic_2	rex_rom_millites_daci	0			false
150171	att_bld_roman_west_city_minor_generic_3	rex_rom_millites_daci	0			false
150172	att_bld_roman_west_city_minor_generic_4	rex_rom_millites_daci	0			false
150173	att_bld_roman_east_city_major_1	rex_rom_millites_daci	0			false
150174	att_bld_roman_east_city_major_2	rex_rom_millites_daci	0			false
150175	att_bld_roman_east_city_major_3	rex_rom_millites_daci	0			false
150176	att_bld_roman_east_city_major_4	rex_rom_millites_daci	0			false
150177	att_bld_roman_east_city_minor_generic_1	rex_rom_millites_daci	0			false
150178	att_bld_roman_east_city_minor_generic_2	rex_rom_millites_daci	0			false
150179	att_bld_roman_east_city_minor_generic_3	rex_rom_millites_daci	0			false
150180	att_bld_roman_east_city_minor_generic_4	rex_rom_millites_daci	0			false
150181	att_bld_roman_west_city_major_1	rex_rom_millites_dalm	0			false
150182	att_bld_roman_west_city_major_2	rex_rom_millites_dalm	0			false
150183	att_bld_roman_west_city_major_3	rex_rom_millites_dalm	0			false
150184	att_bld_roman_west_city_major_4	rex_rom_millites_dalm	0			false
150185	att_bld_roman_west_city_minor_generic_1	rex_rom_millites_dalm	0			false
150186	att_bld_roman_west_city_minor_generic_2	rex_rom_millites_dalm	0			false
150187	att_bld_roman_west_city_minor_generic_3	rex_rom_millites_dalm	0			false
150188	att_bld_roman_west_city_minor_generic_4	rex_rom_millites_dalm	0			false
150189	att_bld_roman_east_city_major_1	rex_rom_millites_dalm	0			false
150190	att_bld_roman_east_city_major_2	rex_rom_millites_dalm	0			false
150191	att_bld_roman_east_city_major_3	rex_rom_millites_dalm	0			false
150192	att_bld_roman_east_city_major_4	rex_rom_millites_dalm	0			false
150193	att_bld_roman_east_city_minor_generic_1	rex_rom_millites_dalm	0			false
